geographical-indicator-product-class,name,start-date,end-date
10,Class 1.1 - Fresh meat,,
11,Class 1.3 - Cheese,,
12,Class 1.8 -  other products of Annex I of the Treaty,,
13,"Class 2.4 - Bread, pastry, cakes, confectionery, biscuits and other bakery products",,
14,Class 2.1 - Beer,,
15,Class 1.4  - other products of animal origin,,
16,"Class 1.7 - Fresh fish, molluscs and crustaceans and products",,
17,"Class 1.6 -  Fruit, vegetables and cereals fresh or processed",,
18,Class 1.2 - Meat products,,
19,Class 3.6 - Wool,,
