geographical-indicator	product	name	website	product-class	status	submission-date	award-registration-date	change-date	classification	origin-location	end-date
100	geographical-indicator-product:10	Cornish pasty	https://www.gov.uk/government/publications/protected-food-name-cornish-pasty-pgi	geographical-indicator-product-class:13	geographical-indicator-status:11		2011-07-23	2015-06-16	geographical-indicator-classification:10	country:GB	
101	geographical-indicator-product:14	Kentish ale	https://www.gov.uk/government/publications/protected-food-name-kentish-ale-pgi	geographical-indicator-product-class:14	geographical-indicator-status:11		1996-06-21		geographical-indicator-classification:10	country:GB	
102	geographical-indicator-product:14	kentish strong aile	https://www.gov.uk/government/publications/protected-food-name-kentish-strong-ale-pgi	geographical-indicator-product-class:14	geographical-indicator-status:11		1996-06-21		geographical-indicator-classification:10	country:GB	
103	geographical-indicator-product:14	Rutland bitter	https://www.gov.uk/government/publications/protected-food-name-rutland-bitter-pgi	geographical-indicator-product-class:14	geographical-indicator-status:11		1996-06-21		geographical-indicator-classification:10	country:GB	
104	geographical-indicator-product:10	traditional bramley apple pie filling	https://www.gov.uk/government/publications/protected-food-name-traditional-bramley-apple-pie-filling-tsg	geographical-indicator-product-class:13	geographical-indicator-status:11		2011-07-23		geographical-indicator-classification:12	country:GB	
105	geographical-indicator-product:10	Beacon Fell traditional Lancashire cheese	https://www.gov.uk/government/publications/protected-food-name-beacon-fell-traditional-lancashire-cheese-pdo	geographical-indicator-product-class:11	geographical-indicator-status:11		1996-06-21		geographical-indicator-classification:11	country:GB	
106	geographical-indicator-product:10	Bonchester cheese	https://www.gov.uk/government/publications/protected-food-name-bonchester-cheese-pdo	geographical-indicator-product-class:11	geographical-indicator-status:11		1996-06-21		geographical-indicator-classification:11	country:GB	
107	geographical-indicator-product:10	Buxton Blue cheese	https://www.gov.uk/government/publications/protected-food-name-buxton-blue-cheese-pdo	geographical-indicator-product-class:11	geographical-indicator-status:11		1996-06-21		geographical-indicator-classification:11	country:GB	
108	geographical-indicator-product:10	Dorset Blue cheese	https://www.gov.uk/government/publications/protected-food-name-dorset-blue-cheese-pgi	geographical-indicator-product-class:11	geographical-indicator-status:11		1998-12-23		geographical-indicator-classification:10	country:GB	
109	geographical-indicator-product:10	Dovedale cheese	https://www.gov.uk/government/publications/protected-food-name-dovedale-pdo	geographical-indicator-product-class:11	geographical-indicator-status:11		1996-06-21		geographical-indicator-classification:11	country:GB	
110	geographical-indicator-product:10	Exmoor Blue cheese	https://www.gov.uk/government/publications/protected-food-name-exmoor-blue-pgi	geographical-indicator-product-class:11	geographical-indicator-status:11		1999-04-28		geographical-indicator-classification:13	country:GB	
111	geographical-indicator-product:10	Orkney Scottish Island Cheddar	https://www.gov.uk/government/publications/protected-food-name-orkney-scottish-island-cheddar-pgi	geographical-indicator-product-class:11	geographical-indicator-status:11		2013-11-22		geographical-indicator-classification:10	country:GB	
112	geographical-indicator-product:10	Single Gloucester cheese	https://www.gov.uk/government/publications/protected-food-name-single-gloucester-pdo	geographical-indicator-product-class:11	geographical-indicator-status:11		1996-06-21		geographical-indicator-classification:11	country:GB	
113	geographical-indicator-product:10	Staffordshire cheese	https://www.gov.uk/government/publications/protected-food-name-staffordshire-cheese-pdo	geographical-indicator-product-class:11	geographical-indicator-status:11		2007-09-18		geographical-indicator-classification:11	country:GB	
114	geographical-indicator-product:10	Stilton Blue cheese	https://www.gov.uk/government/publications/protected-food-name-stilton-blue-cheese-pdo	geographical-indicator-product-class:11	geographical-indicator-status:11				geographical-indicator-classification:11	country:GB	
115	geographical-indicator-product:10	Stilton white cheese	https://www.gov.uk/government/publications/protected-food-names-stilton-white-cheese-pdo	geographical-indicator-product-class:11	geographical-indicator-status:11		1996-06-21		geographical-indicator-classification:11	country:GB	
116	geographical-indicator-product:10	Swaledale cheese	https://www.gov.uk/government/publications/protected-food-name-swaledale-cheese-pdo	geographical-indicator-product-class:11	geographical-indicator-status:11		1996-06-21		geographical-indicator-classification:11	country:GB	
117	geographical-indicator-product:10	Swaledale Ewes cheese	https://www.gov.uk/government/publications/protected-food-name-swaledale-ewes-cheese-pdo	geographical-indicator-product-class:11	geographical-indicator-status:11		1996-06-21		geographical-indicator-classification:11	country:GB	
